,name,Country,UB_mean_score,UB_std,UB_count,UB_D_mean_score,UB_D_std,UB_E_mean_score,UB_E_std,UB_rank,BB_mean_score,BB_std,BB_count,BB_D_mean_score,BB_D_std,BB_E_mean_score,BB_E_std,BB_rank,FX_mean_score,FX_std,FX_count,FX_D_mean_score,FX_D_std,FX_E_mean_score,FX_E_std,FX_rank,VT_mean_score,VT_std,VT_count,VT_D_mean_score,VT_D_std,VT_E_mean_score,VT_E_std,VT_rank,all_scores_std,Standardized_Score_Sum,Total_Appearances,apparatus_participated,mean_score_of_all
686,SONA ARTAMONOVA,CZE,11.55,0.02,2.0,4.3,0.71,7.25,0.73,332.0,12.47,0.32,3.0,4.83,0.25,7.63,0.39,120.0,12.14,0.8,3.0,4.8,0.2,7.48,0.47,224.0,12.72,0.59,2.0,3.9,0.42,8.82,0.16,255.5,0.62,48.88,10.0,4,12.24
356,KAIA TANSKANEN,FIN,11.84,0.96,8.0,4.82,0.23,7.01,0.86,274.0,11.43,0.76,8.0,4.9,0.26,6.53,0.66,316.0,12.55,0.18,6.0,5.0,0.11,7.55,0.2,139.0,13.05,0.13,11.0,4.47,0.1,8.64,0.13,136.0,0.88,48.870000000000005,33.0,4,12.27
528,MIKAKO SERITA,JPN,13.58,0.29,4.0,5.68,0.05,7.91,0.25,39.5,12.1,0.0,1.0,5.1,0.0,7.0,0.0,177.0,10.97,0.0,1.0,5.2,0.0,6.17,0.0,548.5,12.22,0.83,2.0,3.8,0.85,8.42,0.02,418.0,1.06,48.87,8.0,4,12.73
405,LAIA FONT,ESP,12.01,0.79,3.0,5.2,0.0,6.81,0.79,237.0,11.7,0.24,2.0,4.7,0.14,7.0,0.38,256.5,12.37,0.39,3.0,4.97,0.15,7.5,0.19,174.0,12.77,0.4,12.0,4.18,0.57,8.6,0.37,239.0,0.57,48.849999999999994,20.0,4,12.49
237,EMILY ROPER,GBR,11.75,0.49,2.0,4.65,0.35,7.1,0.14,295.0,11.8,0.58,3.0,4.63,0.15,7.17,0.43,239.0,12.32,0.04,2.0,4.9,0.0,7.48,0.04,185.0,12.97,0.41,8.0,4.2,0.43,8.81,0.08,159.0,0.68,48.84,15.0,4,12.49
762,YEONJEONG AN,KOR,11.45,0.16,2.0,4.25,0.07,7.2,0.24,352.0,12.37,0.24,2.0,4.85,0.07,7.52,0.16,133.0,12.27,0.19,2.0,5.2,0.0,7.07,0.19,195.5,12.73,0.0,1.0,4.2,0.0,8.53,0.0,249.0,0.51,48.82000000000001,7.0,4,12.13
683,SOFIA MICALLEF,GBR,12.0,0.36,3.0,4.5,0.17,7.5,0.26,240.5,11.94,0.63,4.0,4.53,0.13,7.41,0.55,204.0,12.05,0.28,3.0,4.67,0.25,7.45,0.38,252.5,12.83,0.54,6.0,4.13,0.39,8.72,0.19,214.0,0.62,48.81999999999999,16.0,4,12.31
118,BIANCA FRYSAK,AUT,12.19,0.44,6.0,4.87,0.08,7.33,0.46,197.0,11.89,0.71,6.0,4.48,0.13,7.43,0.78,214.0,12.04,0.24,6.0,4.37,0.08,7.72,0.18,257.0,12.69,0.06,5.0,4.2,0.0,8.49,0.06,269.0,0.51,48.809999999999995,23.0,4,12.18
779,ZEINA SHARAF,EGY,12.0,0.0,1.0,4.7,0.0,7.3,0.0,240.5,12.03,0.0,1.0,5.5,0.0,6.53,0.0,187.5,12.0,0.0,1.0,4.4,0.0,7.6,0.0,271.0,12.77,0.0,1.0,4.2,0.0,8.57,0.0,241.5,0.38,48.8,4.0,4,12.2
761,YELYZAVETA HUBAREVA,UKR,12.8,0.44,11.0,5.33,0.09,7.47,0.39,119.0,11.77,0.74,8.0,4.99,0.1,6.79,0.68,241.0,11.57,0.0,1.0,4.3,0.0,7.37,0.0,395.5,12.65,0.12,2.0,4.2,0.0,8.45,0.12,289.0,0.74,48.79,22.0,4,12.36
133,CALEIGH ANDERS,RSA,12.06,0.39,3.0,4.83,0.23,7.22,0.16,223.0,11.2,0.0,1.0,4.6,0.0,6.6,0.0,369.5,12.5,0.0,1.0,4.7,0.0,7.8,0.0,148.5,13.0,0.0,1.0,4.2,0.0,8.8,0.0,149.0,0.64,48.76,6.0,4,12.15
81,ANNABELLE BURROWS,AUS,11.97,0.0,1.0,4.2,0.0,7.77,0.0,247.0,11.43,0.0,1.0,4.6,0.0,6.83,0.0,317.5,12.52,0.26,2.0,4.7,0.14,7.82,0.12,143.5,12.8,0.77,4.0,4.0,0.69,8.8,0.17,233.0,0.72,48.72,8.0,4,12.46
250,ERIKA PINXTEN,BEL,11.47,2.46,4.0,4.82,0.89,6.65,1.65,344.0,12.8,0.2,3.0,5.3,0.1,7.5,0.12,71.0,12.09,0.34,2.0,4.7,0.28,7.59,0.2,240.0,12.36,0.86,2.0,3.7,0.71,8.66,0.15,377.0,1.49,48.72,11.0,4,12.11
385,KELISE WOOLFORD,USA,12.29,0.76,4.0,4.75,0.54,7.54,0.57,179.0,11.95,0.54,4.0,4.97,0.15,6.98,0.46,199.5,11.82,0.59,4.0,4.85,0.24,6.98,0.36,329.5,12.65,0.3,4.0,4.2,0.0,8.55,0.23,285.0,0.61,48.71,16.0,4,12.18
663,SHANNA KAE GRANT,GBR,11.9,0.14,2.0,4.45,0.21,7.45,0.07,256.5,11.58,0.04,2.0,4.3,0.42,7.28,0.39,278.0,12.7,0.8,3.0,4.47,0.49,8.23,0.33,110.0,12.5,0.35,2.0,3.6,0.0,9.05,0.14,335.5,0.64,48.68,9.0,4,12.23
493,MARGAUX DANDOIS,BEL,12.63,0.38,3.0,5.07,0.06,7.57,0.41,137.0,11.69,0.57,3.0,5.1,0.44,6.59,0.17,258.5,12.53,0.45,4.0,4.97,0.1,7.56,0.47,141.0,11.8,0.0,1.0,3.2,0.0,8.6,0.0,529.0,0.59,48.650000000000006,11.0,4,12.26
301,HILLARY HERON,PAN,11.85,0.2,8.0,4.7,0.08,7.15,0.16,273.0,11.33,0.54,8.0,4.66,0.19,6.66,0.56,336.0,12.69,0.28,11.0,5.11,0.23,7.6,0.27,112.0,12.73,1.17,19.0,4.69,0.67,8.14,0.65,253.0,0.97,48.599999999999994,46.0,4,12.32
368,KARLA NAVAS,PAN,12.46,0.72,9.0,5.28,0.25,7.18,0.51,160.0,11.28,1.03,9.0,4.59,0.16,6.75,1.03,350.0,11.83,0.31,8.0,4.45,0.24,7.41,0.3,328.0,13.0,0.59,16.0,4.52,0.2,8.51,0.45,153.0,0.96,48.57,42.0,4,12.29
325,JASMIN MADER,AUT,12.03,0.49,6.0,4.6,0.15,7.43,0.55,231.0,11.36,0.68,4.0,4.55,0.13,6.84,0.76,326.0,12.59,0.26,3.0,4.7,0.0,7.99,0.23,127.0,12.57,0.33,2.0,4.2,0.0,8.42,0.26,315.0,0.66,48.550000000000004,15.0,4,12.04
447,LORRANE OLIVEIRA,BRA,13.04,0.46,8.0,5.55,0.08,7.53,0.37,85.0,11.21,0.2,2.0,5.0,0.14,6.31,0.34,366.0,11.4,0.0,1.0,4.9,0.0,6.6,0.0,440.0,12.9,0.33,2.0,4.2,0.0,8.7,0.33,190.0,0.85,48.55,13.0,4,12.61
223,ELLA MURPHY,USA,12.4,0.0,1.0,5.0,0.0,7.4,0.0,165.0,10.8,0.0,1.0,5.0,0.0,5.8,0.0,448.5,12.4,0.0,1.0,4.9,0.0,7.6,0.0,166.5,12.9,0.0,1.0,4.2,0.0,8.7,0.0,185.5,0.91,48.5,4.0,4,12.12
654,SELINA KICKINGER,AUT,12.46,0.2,8.0,4.84,0.12,7.62,0.14,161.0,11.08,1.48,7.0,4.29,0.32,6.84,1.16,397.0,11.95,0.38,5.0,4.42,0.11,7.55,0.29,294.0,13.01,0.28,5.0,4.2,0.0,8.81,0.28,142.0,1.06,48.49999999999999,25.0,4,12.08
241,EMMA FERNANDEZ,ESP,12.17,0.47,2.0,5.0,0.0,7.17,0.47,199.5,11.45,0.59,2.0,4.95,0.21,6.55,0.73,312.0,12.26,0.69,3.0,4.87,0.15,7.42,0.57,199.0,12.62,0.26,2.0,4.2,0.0,8.42,0.26,296.0,0.61,48.49999999999999,9.0,4,12.14
529,MILAGROS CURTI RUIZ,ARG,11.6,0.37,3.0,4.37,0.12,7.23,0.29,322.0,12.03,0.65,5.0,4.84,0.19,7.19,0.54,187.5,12.13,0.47,5.0,4.58,0.13,7.57,0.44,230.0,12.68,0.38,5.0,4.2,0.0,8.48,0.38,272.0,0.58,48.44,18.0,4,12.17
614,ROCIO SAUCEDO,ARG,12.35,0.5,4.0,4.62,0.22,7.73,0.53,171.0,11.15,1.31,4.0,4.68,0.53,6.48,0.86,383.0,12.13,0.44,3.0,4.93,0.35,7.19,0.57,229.0,12.8,0.0,1.0,4.2,0.0,8.6,0.0,228.5,0.97,48.43000000000001,12.0,4,11.93
233,EMELIE WESTLUND,SWE,12.34,0.87,7.0,4.93,0.32,7.41,0.67,174.0,11.49,0.75,7.0,4.43,0.1,7.08,0.71,299.0,12.06,0.25,3.0,4.3,0.2,7.76,0.08,249.0,12.52,0.7,4.0,3.95,0.5,8.57,0.21,330.0,0.81,48.41,21.0,4,12.05
137,CAMILLE RASMUSSEN,DEN,11.85,0.23,4.0,4.22,0.05,7.62,0.2,271.5,11.35,0.56,7.0,4.47,0.05,6.89,0.51,331.0,12.0,0.76,4.0,4.72,0.1,7.27,0.66,275.0,13.2,0.67,28.0,4.6,0.55,8.63,0.26,90.0,0.98,48.400000000000006,43.0,4,12.66
306,HUA TIEN TING,TPE,11.34,1.01,11.0,4.29,0.29,7.08,0.9,361.0,12.64,0.8,14.0,5.21,0.46,7.43,0.52,93.0,12.15,0.35,8.0,4.68,0.07,7.47,0.36,220.0,12.26,0.29,5.0,3.88,0.44,8.44,0.17,406.0,0.91,48.39,38.0,4,12.11
433,LIHIE RAZ,ISR,11.72,0.68,11.0,4.85,0.09,6.88,0.62,305.0,11.48,1.1,13.0,5.21,0.16,6.27,1.05,302.0,12.34,0.38,12.0,5.02,0.15,7.35,0.38,181.0,12.82,0.62,26.0,4.25,0.52,8.59,0.38,223.0,0.9,48.36000000000001,62.0,4,12.25
771,YULIIA KASIANENKO,UKR,11.53,0.66,4.0,5.03,0.1,6.51,0.67,335.5,12.24,0.7,5.0,5.26,0.34,6.98,0.62,150.0,11.84,0.61,3.0,5.1,0.1,6.88,0.53,322.0,12.7,0.0,2.0,4.2,0.0,8.5,0.0,263.5,0.69,48.31,14.0,4,12.02
353,JULIE MADSO,NOR,11.59,0.69,3.0,4.4,0.17,7.19,0.61,324.0,12.11,0.42,5.0,4.7,0.4,7.41,0.58,171.0,11.66,0.7,3.0,4.6,0.0,7.19,0.66,365.0,12.93,0.0,1.0,4.2,0.0,8.73,0.0,177.5,0.63,48.29,12.0,4,11.94
591,PAULA RAYA,ESP,11.91,1.17,3.0,5.0,0.1,6.91,1.08,253.0,11.03,0.0,1.0,4.6,0.0,6.43,0.0,405.0,12.57,0.0,1.0,4.8,0.0,7.77,0.0,135.0,12.77,0.0,1.0,4.2,0.0,8.57,0.0,241.5,0.96,48.28,6.0,4,12.02
738,VALERIIA OSIPOVA,UKR,11.57,1.37,2.0,4.9,0.14,6.67,1.23,329.0,11.48,0.12,2.0,4.8,0.14,6.68,0.26,301.0,12.27,0.14,2.0,4.7,0.0,7.57,0.14,197.0,12.95,0.16,2.0,4.2,0.0,8.75,0.16,171.5,0.82,48.269999999999996,8.0,4,12.07
63,ANDREZA HELOISA LIMA DE LIMA,BRA,12.22,0.07,2.0,4.9,0.0,7.32,0.07,193.0,11.8,0.47,2.0,5.15,0.21,6.65,0.26,237.5,11.97,0.0,1.0,5.3,0.0,6.77,0.0,285.0,12.27,0.24,2.0,4.2,0.0,8.27,0.09,402.5,0.31,48.260000000000005,7.0,4,12.08
17,AIYU ZHU,GER,11.9,0.18,4.0,4.25,0.06,7.65,0.16,259.0,11.88,0.61,4.0,4.75,0.24,7.13,0.41,216.5,11.52,0.33,4.0,4.47,0.38,7.17,0.46,403.0,12.95,0.16,2.0,4.2,0.0,8.75,0.16,171.5,0.57,48.25,14.0,4,11.94
128,BRYNN TORRY,USA,13.1,0.0,1.0,5.4,0.0,7.7,0.0,78.0,9.2,0.0,1.0,4.6,0.0,4.6,0.0,627.5,11.85,0.0,1.0,4.7,0.0,7.15,0.0,318.0,14.1,0.0,1.0,5.0,0.0,9.1,0.0,11.0,2.12,48.25,4.0,4,12.06
66,ANETA HOLASOVA,CZE,12.03,0.42,5.0,4.68,0.29,7.35,0.42,232.0,11.1,0.39,5.0,4.96,0.26,6.2,0.52,392.0,12.5,0.22,7.0,4.9,0.0,7.64,0.18,151.0,12.61,0.38,12.0,4.07,0.26,8.54,0.35,299.0,0.65,48.239999999999995,29.0,4,12.22
500,MARIA TRONRUD,NOR,12.01,0.19,11.0,4.18,0.16,7.83,0.15,238.0,12.33,0.54,15.0,4.96,0.23,7.37,0.47,139.5,11.38,1.01,7.0,4.36,0.28,7.1,0.78,450.0,12.45,0.83,21.0,3.81,0.63,8.67,0.27,352.0,0.76,48.17,54.0,4,12.19
152,CATERINA CEREGHETTI,SUI,11.63,0.0,1.0,5.1,0.0,6.53,0.0,318.0,11.47,0.0,1.0,5.1,0.0,6.37,0.0,307.5,12.2,0.0,1.0,4.8,0.0,7.4,0.0,208.0,12.87,0.0,1.0,4.2,0.0,8.77,0.0,204.0,0.63,48.169999999999995,4.0,4,12.04
457,LUCIJA HRIBAR,SLO,12.16,0.79,18.0,4.86,0.12,7.3,0.7,202.0,11.75,0.51,18.0,4.64,0.15,7.11,0.51,246.0,11.12,2.47,15.0,4.05,1.02,7.56,0.38,524.0,13.07,0.15,4.0,4.2,0.0,8.87,0.15,126.0,1.47,48.1,55.0,4,11.81
537,MIRTILL MAKOVITS,HUN,12.91,0.21,4.0,5.0,0.0,7.91,0.21,98.0,11.52,0.68,5.0,4.54,0.09,6.98,0.75,289.0,11.57,0.64,3.0,4.33,0.12,7.27,0.47,393.5,12.1,0.0,1.0,3.6,0.0,8.5,0.0,449.5,0.81,48.1,13.0,4,12.0
293,HALLE HILTON,IRL,10.98,0.71,6.0,4.38,0.12,6.6,0.64,407.0,12.11,0.51,7.0,4.96,0.14,7.15,0.52,174.0,12.11,0.45,7.0,4.89,0.17,7.28,0.44,233.0,12.89,0.15,4.0,4.4,0.4,8.57,0.29,191.0,0.8,48.09,24.0,4,11.96
776,ZALA TRTNIK,SLO,12.14,0.62,9.0,4.47,0.07,7.67,0.64,205.0,11.84,0.53,11.0,4.81,0.15,7.03,0.45,226.0,11.53,0.45,9.0,4.54,0.25,7.04,0.49,400.0,12.57,0.57,4.0,4.2,0.0,8.4,0.52,313.0,0.62,48.08,33.0,4,11.93
229,ELLIE PATRICK,GBR,12.05,0.0,1.0,4.1,0.0,7.95,0.0,225.5,11.9,0.0,1.0,4.8,0.0,7.1,0.0,211.0,11.85,0.0,1.0,4.5,0.0,7.35,0.0,318.0,12.25,0.64,2.0,3.8,0.57,8.5,0.14,407.0,0.37,48.050000000000004,5.0,4,12.06
566,NIKOLETT SZILAGYI,HUN,11.82,0.16,3.0,4.5,0.0,7.32,0.16,277.0,11.82,1.14,10.0,4.93,0.32,6.9,0.87,231.0,12.02,0.26,5.0,4.8,0.12,7.22,0.27,265.0,12.38,0.24,7.0,3.74,0.34,8.64,0.23,368.0,0.76,48.04,25.0,4,12.02
697,SUMIN LIM,KOR,10.65,0.64,2.0,4.95,0.21,5.7,0.85,457.0,11.98,0.64,2.0,5.55,0.07,6.43,0.57,194.0,12.92,0.12,3.0,5.0,0.0,7.92,0.12,65.0,12.46,0.39,3.0,3.93,0.46,8.56,0.05,348.0,0.93,48.010000000000005,10.0,4,12.14
106,AVERY KING,USA,11.45,0.0,1.0,3.6,0.0,7.85,0.0,350.0,11.55,0.0,1.0,4.7,0.0,6.85,0.0,282.5,12.45,0.0,1.0,5.0,0.0,7.55,0.0,159.0,12.55,0.0,1.0,4.2,0.0,8.45,0.0,318.5,0.58,48.0,4.0,4,12.0
621,RUBY STACEY,GBR,12.26,1.02,5.0,5.14,0.15,7.12,1.14,187.0,11.13,1.32,3.0,4.6,0.35,6.57,0.95,385.0,12.1,0.4,4.0,4.58,0.13,7.62,0.17,238.0,12.49,0.58,5.0,4.04,0.61,8.49,0.47,344.0,0.91,47.980000000000004,17.0,4,12.09
659,SEVGI KAYISOGLU,TUR,12.26,0.61,13.0,4.85,0.31,7.42,0.66,185.0,11.34,0.82,7.0,4.9,0.18,6.45,0.84,332.0,12.21,0.32,11.0,4.78,0.16,7.47,0.26,207.0,12.17,0.37,4.0,3.75,0.3,8.44,0.14,432.0,0.65,47.980000000000004,35.0,4,12.05
305,HSIANG HAN MAI LIU,TPE,11.73,0.0,1.0,4.3,0.0,7.43,0.0,300.5,11.77,0.0,1.0,5.2,0.0,6.57,0.0,243.0,12.17,0.0,1.0,5.0,0.0,7.27,0.0,215.0,12.27,0.0,1.0,3.8,0.0,8.47,0.0,404.5,0.27,47.94,4.0,4,11.98
85,ANNY WU,SUI,12.19,0.18,3.0,4.83,0.06,7.36,0.24,198.0,10.87,0.9,2.0,4.5,0.0,6.37,0.9,438.0,12.15,0.26,2.0,4.7,0.14,7.45,0.12,223.0,12.73,0.43,3.0,4.2,0.0,8.63,0.26,251.0,0.79,47.94,10.0,4,12.08
207,DOMINIKA PONIZILOVA,CZE,11.17,0.89,5.0,4.56,0.15,6.61,0.75,378.0,12.07,0.23,4.0,4.55,0.26,7.52,0.31,182.0,11.96,0.2,6.0,4.33,0.1,7.63,0.16,287.0,12.71,0.68,19.0,4.13,0.34,8.61,0.37,259.0,0.82,47.910000000000004,34.0,4,12.28
592,PAULINA CAMPOS,MEX,12.55,0.78,9.0,5.44,0.17,7.11,0.77,151.0,11.71,0.64,7.0,4.86,0.19,6.94,0.53,251.0,12.07,0.2,4.0,4.3,0.12,7.77,0.12,245.0,11.57,0.0,1.0,3.2,0.0,8.37,0.0,573.0,0.73,47.9,21.0,4,12.13
596,PIN JU LAI,TPE,11.61,0.38,13.0,4.1,0.0,7.51,0.38,321.0,11.94,0.85,18.0,4.99,0.22,6.97,0.76,205.0,12.02,0.36,14.0,4.61,0.11,7.43,0.28,263.0,12.32,0.76,20.0,3.87,0.42,8.56,0.34,385.0,0.69,47.88999999999999,65.0,4,12.01
31,ALICE VLKOVA,CZE,11.78,0.28,3.0,4.57,0.12,7.21,0.34,288.0,10.87,1.24,3.0,4.73,0.06,6.13,1.3,439.0,12.3,0.22,4.0,4.92,0.15,7.37,0.13,191.0,12.93,0.33,9.0,4.27,0.2,8.67,0.15,179.0,0.91,47.88,19.0,4,12.29
519,MELINE MESROPIAN,ARG,12.09,0.93,3.0,4.87,0.12,7.22,0.97,218.0,10.59,0.6,3.0,4.93,0.47,5.79,0.78,475.0,12.51,0.44,3.0,4.77,0.4,7.84,0.15,146.0,12.68,0.07,2.0,4.2,0.0,8.48,0.07,271.0,1.02,47.87,11.0,4,11.9
464,LYNNZEE BROWN,HAI,11.06,0.05,3.0,3.2,0.2,7.86,0.25,398.5,11.33,0.19,3.0,4.23,0.06,7.1,0.2,334.0,12.02,0.17,3.0,4.7,0.1,7.36,0.08,264.0,13.43,0.06,3.0,4.6,0.0,8.83,0.06,62.0,0.97,47.839999999999996,12.0,4,11.96
406,LAIA MASFERRER,ESP,11.49,0.18,3.0,4.6,0.0,6.89,0.18,340.0,12.2,0.66,2.0,4.95,0.49,7.3,0.24,160.0,11.7,0.0,1.0,4.7,0.0,7.0,0.0,350.5,12.44,0.69,5.0,4.04,0.22,8.42,0.49,353.0,0.65,47.83,11.0,4,12.07
214,ELINA GRAVIN,SWE,11.13,0.0,1.0,3.7,0.0,7.43,0.0,384.0,12.13,0.28,2.0,4.75,0.07,7.43,0.42,168.0,12.26,0.04,3.0,4.27,0.06,7.99,0.05,198.0,12.3,0.0,1.0,3.6,0.0,8.7,0.0,388.5,0.43,47.82000000000001,7.0,4,12.07
563,NICOLE IRIBARNE,ARG,12.03,0.38,4.0,4.22,0.05,7.81,0.34,230.0,11.08,0.82,4.0,4.57,0.05,6.51,0.78,394.0,11.91,0.15,5.0,4.74,0.09,7.27,0.23,301.0,12.8,0.1,5.0,4.4,0.0,8.4,0.1,232.0,0.73,47.81999999999999,18.0,4,12.0
328,JEA MARACHA,GBR,11.81,0.57,4.0,4.47,0.19,7.34,0.42,279.0,12.24,0.55,6.0,4.6,0.21,7.64,0.34,151.0,11.48,0.68,4.0,4.35,0.17,7.2,0.48,412.0,12.28,0.6,3.0,4.0,0.35,8.32,0.67,399.0,0.63,47.81,17.0,4,11.97
477,MAIA LLACER,ESP,12.13,1.23,8.0,5.22,0.34,6.91,0.89,206.0,10.74,1.28,4.0,4.53,0.05,6.21,1.3,460.0,12.17,0.44,4.0,4.58,0.19,7.62,0.33,212.0,12.77,0.46,5.0,4.04,0.36,8.73,0.14,238.0,1.15,47.81,21.0,4,12.03
427,LENI BOHLE,AUT,11.67,0.0,1.0,4.4,0.0,7.27,0.0,314.5,10.67,0.71,2.0,4.45,0.49,6.22,1.2,466.0,12.4,0.0,1.0,4.7,0.0,7.7,0.0,166.5,13.05,0.07,2.0,4.2,0.0,8.9,0.0,134.5,1.14,47.790000000000006,6.0,4,11.92
204,DJENNA LAROUI,FRA,12.82,0.97,5.0,5.4,0.1,7.48,0.77,116.0,10.53,0.0,1.0,4.5,0.0,6.03,0.0,480.5,11.95,1.82,4.0,4.88,0.1,7.13,1.8,289.0,12.49,0.03,4.0,3.8,0.0,8.69,0.03,343.0,1.2,47.79,14.0,4,12.31
545,NADINE JOY NATHAN,SIN,12.27,0.19,2.0,4.3,0.0,7.97,0.19,183.5,11.86,0.76,3.0,4.77,0.23,7.09,0.53,222.0,11.42,0.16,2.0,3.9,0.0,7.52,0.16,434.0,12.22,0.83,4.0,3.9,0.35,8.32,0.51,419.0,0.66,47.769999999999996,11.0,4,11.99
140,CARINA KROELL,AUT,11.77,0.05,2.0,4.55,0.07,7.22,0.12,291.0,11.72,0.45,2.0,4.6,0.0,7.17,0.52,250.0,11.7,0.0,1.0,4.3,0.0,7.5,0.0,350.5,12.57,0.0,1.0,3.8,0.0,8.77,0.0,316.0,0.4,47.76,6.0,4,11.88
558,NAVEEN DARIES,RSA,11.72,0.95,7.0,4.91,0.15,6.81,0.87,304.0,11.1,0.45,7.0,4.57,0.24,6.52,0.51,393.0,12.13,0.46,7.0,4.63,0.25,7.61,0.3,231.0,12.79,0.25,9.0,4.07,0.2,8.73,0.16,235.0,0.84,47.74,30.0,4,11.99
254,EVANDRA ZLOBEC,CAN,11.93,1.04,2.0,5.3,0.0,6.63,1.04,251.0,11.2,0.0,1.0,4.5,0.0,6.7,0.0,369.5,12.65,0.32,3.0,4.77,0.12,7.95,0.28,115.0,11.94,0.7,2.0,4.2,0.0,8.04,0.7,501.0,0.72,47.72,8.0,4,12.11
14,AIDA BAUYRZHANOVA,KAZ,11.3,0.42,10.0,4.23,0.15,7.07,0.41,363.0,11.99,0.49,15.0,4.93,0.1,7.06,0.51,193.0,12.13,0.66,17.0,4.58,0.28,7.61,0.41,232.0,12.29,0.42,9.0,3.89,0.33,8.42,0.25,397.0,0.62,47.71,51.0,4,11.95
384,KEIRA THORNTON,GBR,11.88,0.04,2.0,4.3,0.28,7.58,0.25,261.5,11.27,1.7,3.0,4.4,0.1,6.97,1.62,352.0,11.75,0.57,2.0,4.65,0.07,7.1,0.64,336.5,12.81,0.36,8.0,4.0,0.45,8.83,0.2,224.0,0.97,47.71,15.0,4,12.24
175,CHRISTIANE POPOVICH,USA,12.05,0.0,1.0,5.5,0.0,6.55,0.0,225.5,10.6,0.0,1.0,5.1,0.0,5.5,0.0,473.5,12.3,0.0,1.0,5.0,0.0,7.3,0.0,189.5,12.75,0.0,1.0,4.2,0.0,8.55,0.0,244.5,0.93,47.7,4.0,4,11.92
161,CHARLIZE MOERZ,AUT,11.39,0.69,3.0,4.1,0.0,7.29,0.69,358.0,11.29,0.51,4.0,4.6,0.0,6.69,0.51,347.0,12.32,0.65,6.0,5.25,0.14,7.12,0.54,186.0,12.69,0.23,6.0,4.23,0.27,8.46,0.21,268.0,0.77,47.69,19.0,4,12.07
448,LOTTIE SMITH,GBR,11.77,0.11,2.0,4.5,0.14,7.28,0.04,289.5,11.6,0.42,2.0,4.6,0.0,7.05,0.35,271.0,11.85,0.0,1.0,4.5,0.0,7.45,0.0,318.0,12.4,0.69,3.0,3.87,0.58,8.53,0.13,364.0,0.54,47.62,8.0,4,11.97
580,OLIVIA KELLY,BAR,10.85,1.15,2.0,4.25,0.07,6.6,1.08,423.5,11.53,0.57,2.0,4.85,0.07,6.68,0.64,286.0,12.1,0.57,2.0,4.85,0.07,7.4,0.28,235.5,13.13,0.09,2.0,4.2,0.0,8.93,0.09,112.0,1.04,47.61,8.0,4,11.9
238,EMILY TODD,GBR,12.54,0.21,4.0,4.4,0.12,8.14,0.12,153.5,10.95,0.71,2.0,4.65,0.07,6.3,0.78,421.0,11.38,1.1,2.0,4.55,0.21,6.82,0.88,451.5,12.68,0.04,2.0,3.8,0.0,8.88,0.04,275.0,0.87,47.55,10.0,4,12.02
727,TYESHA MATTIS,JAM,12.59,0.39,4.0,5.15,0.1,7.44,0.49,144.0,11.08,0.68,4.0,5.1,0.12,6.0,0.6,396.0,10.95,0.21,2.0,4.2,0.14,6.9,0.14,550.5,12.88,0.04,2.0,4.2,0.0,8.68,0.04,197.0,0.96,47.50000000000001,12.0,4,11.86
202,DILDORA ARIPOVA,UZB,11.22,1.34,13.0,4.8,0.2,6.46,1.12,376.0,11.5,0.93,10.0,4.81,0.3,6.69,0.82,298.0,12.47,0.6,14.0,4.81,0.24,7.71,0.38,153.0,12.3,0.4,9.0,4.02,0.21,8.36,0.42,396.0,1.04,47.489999999999995,46.0,4,11.87
713,THELMA ADALSTEINSDOTTIR,ISL,11.79,0.55,4.0,4.22,0.1,7.57,0.51,285.0,11.78,0.5,4.0,4.75,0.06,7.08,0.47,240.0,11.66,0.59,4.0,4.15,0.59,7.51,0.31,366.5,12.25,0.12,4.0,3.9,0.2,8.42,0.12,408.5,0.49,47.480000000000004,16.0,4,11.87
158,CEREN BINER,TUR,12.12,0.68,3.0,4.8,0.0,7.32,0.68,210.0,10.47,0.0,1.0,5.6,0.0,4.87,0.0,489.5,12.2,0.15,3.0,4.7,0.1,7.5,0.17,209.0,12.66,0.37,7.0,4.03,0.21,8.63,0.3,280.0,0.69,47.45,14.0,4,12.29
335,JESSICA DOWLING,CAN,12.25,1.22,7.0,5.4,0.06,6.85,1.21,192.0,11.29,0.54,4.0,4.47,0.05,6.84,0.51,348.5,12.09,0.05,3.0,4.9,0.0,7.39,0.15,241.0,11.8,1.13,2.0,3.8,0.57,8.1,0.57,529.0,0.95,47.42999999999999,16.0,4,11.92
587,PALOMA MINTCHEVA,BUL,12.57,0.0,1.0,4.9,0.0,7.67,0.0,147.0,9.33,0.0,1.0,4.3,0.0,5.13,0.0,617.0,12.57,0.0,1.0,5.1,0.0,7.47,0.0,135.0,12.9,0.0,1.0,4.2,0.0,8.7,0.0,185.5,1.68,47.37,4.0,4,11.84
235,EMILY BREMNER,GBR,11.4,0.21,2.0,4.1,0.0,7.3,0.21,354.0,11.48,0.04,2.0,4.7,0.0,6.82,0.04,303.0,11.62,0.6,2.0,4.7,0.14,6.92,0.46,382.0,12.85,0.0,1.0,4.2,0.0,8.65,0.0,209.0,0.58,47.35,7.0,4,11.69
186,CSENGE MARIA BACSKAY,HUN,11.4,1.22,8.0,4.64,0.75,6.76,0.74,357.0,11.29,0.2,4.0,4.58,0.13,6.72,0.17,348.5,11.53,0.0,1.0,4.1,0.0,7.43,0.0,400.0,13.09,0.44,36.0,4.4,0.37,8.71,0.15,122.0,0.98,47.31,49.0,4,12.64
